,Job Level,Units,Credit Scoring,Customer Onboarding,Product Recommendations,Product Pricing,KYC & AML,Contract Analysis,Content Reviews,Trade Reconstruction,Investment Advisory,Portfolio Construction,Asset Valuation,Trade Execution,Dispute Management,Fraud Detection,Smart Surveillance,Model Risk Management,Operations Assistant,Account Reconciliations,Collections,Capital Optimization,Roles
0,7,Wealth,True,True,False,True,False,True,False,True,False,False,False,True,True,True,True,False,True,True,True,False,CRO
1,3,Portfolios,True,True,False,True,True,False,True,True,False,False,False,True,True,True,True,True,False,True,True,True,Manager
2,1,Corp,False,True,False,False,False,True,True,False,False,True,False,False,False,True,True,True,True,True,False,False,Operations Executive
3,7,Retail Banking,False,True,True,False,True,True,False,True,False,True,True,True,True,False,False,False,True,False,False,True,CIO
4,4,Back-office operations,False,True,True,True,False,True,False,True,True,True,False,False,False,False,False,True,False,True,True,True,Director
5,3,Corporate Banking,True,False,False,False,True,False,False,True,False,True,True,True,True,False,True,False,True,True,False,False,Senior Analyst
6,4,Retail Banking,False,True,True,True,False,False,False,True,False,True,False,False,False,False,True,False,True,True,False,True,Director
7,6,Wealth,False,False,False,True,True,False,False,True,True,False,True,True,True,False,False,True,False,True,True,True,EVP
8,2,Corporate Banking,True,False,False,True,False,True,True,True,False,True,False,False,False,True,False,True,False,True,False,True,Analyst
9,7,Back-office operations,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,CRO
10,7,Retail Banking,True,True,False,False,False,False,True,False,True,True,False,False,True,False,True,True,True,False,False,True,CIO
11,2,Retail Banking,False,False,True,True,False,True,False,True,False,True,True,True,True,False,True,True,False,True,False,False,Process Owner
12,5,Retail Banking,True,False,True,True,False,True,False,False,True,True,True,True,False,False,True,False,True,False,False,False,Department Head
13,7,Wealth,True,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,True,False,True,False,CRO
14,1,Corp,False,False,True,False,True,False,False,False,False,True,False,True,False,True,True,True,False,False,False,False,Operations Executive
15,1,Corp,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,Operations Executive
16,6,Wealth,False,True,True,False,False,False,True,True,False,True,False,True,False,False,True,False,True,False,True,True,SVP
17,4,Retail Banking,False,False,True,True,False,False,True,True,True,True,True,False,False,False,True,True,True,True,True,False,Director
18,1,Portfolios,True,True,True,True,False,False,False,False,True,False,False,True,False,True,True,False,True,False,True,False,Operations Executive
19,2,Corp,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,Analyst
20,3,Trading,True,True,True,False,False,True,False,False,True,False,True,True,True,True,True,True,False,False,False,True,Manager
21,3,Corporate Banking,True,True,True,True,False,True,False,True,True,True,False,True,True,True,True,False,False,False,True,True,Manager
22,3,Corp,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,Manager
23,6,Wealth,False,False,True,False,True,True,True,False,True,True,True,False,False,False,True,False,False,True,True,False,EVP
24,6,Wealth,True,True,False,True,False,False,False,False,False,False,True,False,False,True,True,True,False,False,True,False,SVP
25,2,Trading,True,False,False,True,True,False,False,True,False,True,True,True,True,True,True,True,False,False,True,False,Analyst
26,2,Corp,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,Analyst
27,3,Back-office operations,False,False,True,True,False,True,False,True,True,True,False,True,True,False,False,False,False,True,False,False,Manager
28,2,Back-office operations,True,False,True,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False,True,False,Process Owner
29,4,Wealth,True,True,True,True,True,True,True,False,False,False,True,False,False,False,True,True,False,True,True,True,Director
30,4,Back-office operations,False,False,True,False,True,True,True,False,True,True,False,False,True,True,False,False,True,False,True,True,Director
31,4,Corporate Banking,True,True,True,True,True,False,True,False,False,True,True,False,True,False,False,True,True,False,True,False,Director
32,2,Corp,False,True,True,False,True,True,True,False,False,False,True,False,True,True,True,False,False,True,True,True,Analyst
33,4,Back-office operations,True,False,False,False,False,True,False,False,True,False,False,True,True,True,False,False,False,False,True,False,Director
34,5,Retail Banking,False,True,True,True,False,False,True,False,False,False,True,True,True,True,True,True,False,False,False,True,VP
35,4,Back-office operations,False,True,True,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,True,Director
36,1,Corp,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,Operations Executive
37,4,Trading,False,True,False,True,True,False,True,False,False,True,True,False,False,False,True,False,True,False,False,False,Director
38,6,Wealth,True,False,True,True,False,True,True,False,False,False,False,True,False,True,True,True,True,True,True,True,SVP
39,4,Corp,False,True,True,False,True,False,False,False,False,True,True,True,False,False,True,True,True,True,True,True,Director
40,7,Trading,True,False,True,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,CIO
41,4,Portfolios,True,False,True,True,True,True,False,True,True,True,True,True,False,False,True,False,True,True,False,False,Director
42,6,Back-office operations,False,True,True,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,True,True,SVP
43,2,Retail Banking,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False,Team Lead
44,1,Retail Banking,True,True,True,False,False,True,False,True,True,False,True,True,False,False,True,False,False,True,True,False,Operations Executive
45,3,Corp,False,True,False,True,True,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,Senior Analyst
46,6,Back-office operations,False,False,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,True,True,True,SVP
47,6,Corporate Banking,True,False,True,False,True,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,SVP
48,5,Trading,False,False,True,True,True,False,True,False,True,True,False,False,False,False,True,True,False,False,True,True,Department Head
49,3,Corporate Banking,True,True,True,True,False,False,True,False,True,True,False,False,False,False,True,False,True,True,True,False,Manager
50,1,Trading,True,True,True,False,False,False,False,True,False,False,True,False,False,True,True,False,True,True,False,True,Operations Executive
51,4,Retail Banking,False,False,False,False,True,True,True,False,True,True,True,False,True,False,False,True,False,True,True,False,Director
52,3,Portfolios,False,False,True,True,False,False,True,False,False,False,False,True,True,True,True,False,False,True,True,False,Senior Analyst
53,7,Portfolios,True,False,False,True,True,True,False,False,True,False,True,True,False,True,True,True,False,True,True,False,CIO
54,4,Retail Banking,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,True,False,False,True,Director
55,4,Corporate Banking,False,True,True,False,False,True,True,False,True,True,False,False,True,False,False,True,True,True,True,False,Director
56,6,Corporate Banking,True,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True,False,True,True,False,EVP
57,2,Retail Banking,True,True,False,True,False,True,True,False,True,True,True,False,True,False,True,False,False,False,False,False,Process Owner
58,6,Corp,True,True,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False,EVP
59,6,Trading,True,True,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,SVP
60,1,Wealth,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False,True,True,False,False,Operations Executive
61,7,Corporate Banking,True,True,True,True,False,True,False,True,False,True,False,False,True,True,False,False,False,False,True,True,CRO
62,5,Wealth,False,True,False,True,False,False,True,True,False,True,False,True,True,False,True,False,False,False,False,False,Department Head
63,2,Corporate Banking,False,False,False,True,False,True,True,False,True,True,False,True,False,True,True,True,False,False,True,True,Process Owner
64,1,Trading,False,True,False,True,True,False,True,False,True,True,False,True,True,False,True,False,True,True,True,False,Operations Executive
65,4,Corp,True,False,True,True,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,True,Director
66,3,Corp,True,True,True,True,False,False,False,True,False,True,False,True,False,True,True,False,True,True,True,True,Manager
67,1,Retail Banking,True,True,False,False,True,True,False,False,False,False,True,True,False,True,True,False,True,True,False,True,Operations Executive
68,7,Wealth,True,False,False,False,True,True,False,False,False,False,True,True,False,True,True,False,True,False,True,False,CIO
69,2,Retail Banking,False,True,True,True,True,False,True,True,True,True,True,False,False,False,True,True,True,True,True,False,Team Lead
70,1,Portfolios,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,True,Operations Executive
71,5,Retail Banking,True,False,False,True,False,False,True,False,True,False,True,False,True,True,True,True,False,True,True,False,Department Head
72,6,Wealth,True,False,True,False,True,True,True,True,False,True,False,False,True,False,True,False,False,False,True,False,SVP
73,2,Corp,False,True,False,True,False,True,True,True,False,False,True,False,False,True,False,False,False,False,True,True,Analyst
74,3,Portfolios,True,False,True,False,True,True,False,False,False,False,True,True,True,True,True,False,False,True,True,True,Manager
75,4,Wealth,False,False,False,True,False,True,False,False,True,False,True,False,True,False,True,True,True,True,False,True,Director
76,1,Wealth,False,True,False,True,True,True,False,True,False,True,True,False,False,False,True,True,True,False,True,False,Operations Executive
77,2,Retail Banking,False,False,False,True,True,False,True,False,True,False,True,True,True,False,False,True,False,False,True,False,Team Lead
78,1,Back-office operations,True,True,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,Operations Executive
79,7,Wealth,True,True,True,False,True,True,True,False,True,False,False,True,True,False,False,False,True,True,False,True,CTO
80,1,Trading,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,False,True,Operations Executive
81,3,Portfolios,True,True,False,False,False,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False,Senior Analyst
82,6,Retail Banking,True,True,False,False,False,True,True,True,False,False,True,False,False,True,False,False,False,True,True,True,SVP
83,1,Corp,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,Operations Executive
84,2,Trading,False,False,False,True,True,True,False,False,True,False,True,True,False,False,False,False,False,False,True,False,Process Owner
85,1,Corporate Banking,True,False,True,False,False,True,True,False,False,False,True,True,True,True,True,True,False,True,False,False,Operations Executive
86,3,Corp,False,False,True,True,False,False,True,True,True,False,False,True,True,True,True,True,True,True,True,False,Manager
87,4,Corporate Banking,False,False,True,True,True,True,False,True,False,False,False,False,True,False,False,False,True,True,True,True,Director
88,4,Corporate Banking,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,True,True,False,True,Director
89,5,Retail Banking,True,True,True,True,False,True,True,False,True,True,False,True,True,True,False,False,False,True,False,True,VP
90,1,Corporate Banking,True,False,False,True,False,False,True,True,True,False,True,True,False,False,False,True,False,False,False,False,Operations Executive
91,2,Retail Banking,False,True,False,True,False,False,True,True,False,True,True,False,False,True,False,True,False,False,False,True,Analyst
92,6,Back-office operations,False,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,SVP
93,4,Retail Banking,False,False,True,True,True,True,True,False,False,False,False,False,False,True,True,False,False,True,False,True,Director
94,7,Back-office operations,True,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,True,False,False,CTO
95,5,Corp,True,True,False,False,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,True,VP
96,4,Wealth,True,True,True,False,False,False,True,False,False,True,False,True,True,False,True,True,True,True,False,False,Director
97,5,Wealth,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,True,True,False,False,Department Head
98,1,Portfolios,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,True,Operations Executive
99,2,Trading,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,False,False,False,True,Analyst
100,3,Corp,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,Manager
101,1,Retail Banking,False,True,False,True,False,True,True,False,True,True,True,True,False,False,False,True,True,False,True,False,Operations Executive
102,2,Back-office operations,False,False,False,False,True,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,Analyst
103,7,Portfolios,False,False,False,True,True,False,False,True,False,False,True,False,True,False,True,True,True,False,True,False,CRO
104,5,Retail Banking,True,True,True,True,False,False,False,True,True,True,False,True,True,True,True,False,True,True,False,True,VP
105,5,Trading,False,False,False,False,False,True,False,False,True,False,False,True,True,True,True,True,False,True,True,True,Department Head
106,5,Retail Banking,True,True,False,True,True,True,True,False,False,True,True,False,True,True,False,False,False,False,False,True,Department Head
107,4,Back-office operations,True,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,True,Director
108,5,Back-office operations,True,True,False,True,False,False,False,False,True,True,True,True,False,True,False,True,True,True,True,False,Department Head
109,6,Portfolios,False,True,True,False,True,False,False,False,False,False,True,False,False,False,True,True,True,True,True,False,SVP
110,7,Retail Banking,True,True,True,False,False,True,True,True,False,True,False,False,True,False,False,True,True,False,False,True,CIO
111,3,Retail Banking,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,True,False,True,True,Manager
112,7,Back-office operations,False,False,True,False,False,True,True,True,True,False,True,False,False,True,False,True,False,False,False,True,CTO
